team1,team2,date,time,round
France,Greece,2026-08-30,17:00,Eight Final 8
Serbia,Croatia,2026-08-30,20:00,Eight Final 5
Italy,Bulgaria,2026-08-31,17:00,Eight Final 6
Netherlands,Slovenia,2026-08-31,16:00,Eight Final 4
Czechia,Sweden,2026-08-31,20:00,Eight Final 7
Poland,Portugal,2026-08-31,19:00,Eight Final 1
Belgium,Germany,2026-09-01,16:00,Eight Final 2
Türkiye,Azerbaijan,2026-09-01,19:00,Eight Final 3
