team1,team2,date,time,round
,,2026-09-19,17:00,Eight Final 1
,,2026-09-19,20:00,Eight Final 2
,,2026-09-20,17:00,Eight Final 3
,,2026-09-20,17:00,Eight Final 4
,,2026-09-20,20:00,Eight Final 5
,,2026-09-20,20:00,Eight Final 6
,,2026-09-21,17:00,Eight Final 7
,,2026-09-21,20:00,Eight Final 8
