team1,team2,date,time,round
,,2026-09-02,16:00,Quarter Final 1
,,2026-09-02,20:00,Quarter Final 2
,,2026-09-03,16:00,Quarter Final 3
,,2026-09-03,20:00,Quarter Final 4
