team1,team2,date,time,round
,,2026-09-22,17:00,Quarter Final 1
,,2026-09-22,20:00,Quarter Final 2
,,2026-09-23,17:00,Quarter Final 3
,,2026-09-23,20:00,Quarter Final 4
